row_id,credit_limit,sex,education,marital_status,age,latest_repayment_status,maximum_repayment_delay_6m,delayed_months_6m,average_bill_6m,bill_change_sep_to_apr,total_payment_6m,payment_to_bill_ratio_6m,zero_payment_months_6m,utilization_sep,repayment_assistance_plan,payment_difficulty_next_month
CR26-120473,80000,male,university,married,54,0,0,0,24600,3700,10300,0.07,0,0.33,no,0
CR26-127004,20000,male,university,single,30,0,0,0,21100,21000,6700,0.05,0,1.98,no,0
CR26-116408,230000,female,graduate_school,married,35,0,0,0,1700,3600,5100,0.49,1,0.03,no,0
CR26-125768,150000,female,university,married,51,0,0,0,76100,-8800,15400,0.03,0,0.48,no,0
CR26-118040,500000,male,graduate_school,married,43,0,0,0,121600,26200,25000,0.03,0,0.25,yes,0
CR26-120484,60000,female,graduate_school,married,39,0,2,1,53200,21600,19000,0.06,1,0.93,no,0
CR26-109443,90000,male,university,married,45,-1,3,3,1400,3300,2900,0.3,3,0.04,yes,0
CR26-101482,160000,female,graduate_school,married,41,-1,0,0,15400,5500,72200,0.78,1,0.15,no,0
CR26-108799,220000,female,graduate_school,married,41,1,1,1,-100,100,0,0.0,6,0.0,no,0
CR26-115173,190000,male,graduate_school,married,31,0,0,0,101700,71200,59500,0.1,1,0.83,no,0
CR26-112798,300000,female,graduate_school,married,38,-1,0,0,17200,-2700,5600,0.05,0,0.05,yes,0
CR26-111563,470000,female,university,single,30,0,0,0,27000,-1800,21800,0.13,0,0.06,no,0
CR26-111201,130000,male,university,single,25,2,2,1,90300,122800,45100,0.08,0,0.99,no,1
CR26-115066,50000,female,graduate_school,single,24,0,2,1,40300,28800,27300,0.11,1,0.97,no,0
CR26-100796,80000,male,graduate_school,single,26,1,2,3,41300,-2800,9700,0.04,1,0.5,yes,0
CR26-123797,120000,male,graduate_school,married,33,0,0,0,116600,9800,27500,0.04,0,1.0,no,0
CR26-101723,320000,female,graduate_school,single,31,-1,0,0,25100,38600,103400,0.69,0,0.21,no,1
CR26-113957,80000,male,university,married,46,0,0,0,66600,31700,16000,0.04,0,1.0,yes,0
CR26-101876,320000,male,graduate_school,single,32,-1,0,0,10900,-7800,45700,0.7,1,0.0,no,0
CR26-101337,150000,female,unknown,single,36,0,0,0,93400,126300,92500,0.17,0,0.97,no,0
